Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited
France,Female,42,0.0,1,1,1,1
Spain,Female,41,83807.86,1,0,1,0
France,Female,42,159660.8,3 or more,1,0,1
France,Female,39,0.0,2,0,0,0
Spain,Female,43,125510.82,1,1,1,0
Spain,Male,44,113755.78,2,1,0,1
France,Male,50,0.0,2,1,1,0
Germany,Female,29,115046.74,3 or more,1,0,1
France,Male,44,142051.07,2,0,1,0
France,Male,27,134603.88,1,1,1,0
France,Male,31,102016.72,2,0,0,0
Spain,Male,24,0.0,2,1,0,0
France,Female,34,0.0,2,1,0,0
France,Female,25,0.0,2,0,0,0
Spain,Female,35,0.0,2,1,1,0
Germany,Male,45,143129.41,2,0,1,0
Germany,Male,58,132602.88,1,1,0,1
Spain,Female,24,0.0,2,1,1,0
Spain,Male,45,0.0,1,0,0,0
France,Female,24,0.0,2,1,1,0
France,Male,41,0.0,2,1,1,0
Spain,Female,32,0.0,2,1,0,0
Spain,Female,38,0.0,1,1,0,1
France,Male,46,0.0,2,0,1,0
France,Female,38,0.0,1,1,1,0
France,Male,25,0.0,2,0,1,0
Germany,Male,36,136815.64,1,1,1,0
France,Male,44,0.0,2,0,0,0
Germany,Female,43,141349.43,1,1,1,0
France,Male,29,59697.17,2,1,1,0
Spain,Female,39,0.0,3 or more,1,0,1
France,Male,36,85311.7,1,0,1,0
Germany,Male,41,110112.54,2,0,0,0
Spain,Female,42,0.0,2,1,1,0
Spain,Female,29,0.0,2,1,1,0
France,Female,45,134264.04,1,1,0,1
Spain,Male,31,145260.23,1,0,1,0
Spain,Male,33,76548.6,1,0,1,0
France,Male,36,0.0,1,1,1,0
Germany,Male,41,70349.48,2,0,1,0
Spain,Male,40,0.0,1,1,0,0
France,Female,51,122522.32,1,0,0,1
France,Female,61,117419.35,1,1,1,0
France,Female,49,131394.56,1,0,0,1
Spain,Female,61,155931.11,1,1,1,0
Germany,Female,32,109421.13,2,1,1,0
Germany,Female,27,112045.67,1,1,1,1
Germany,Female,39,137843.8,1,1,1,1
Germany,Male,38,103391.38,1,0,1,0
Germany,Female,37,103769.22,2,1,0,0
Germany,Male,44,116363.37,2,1,0,0
Germany,Male,36,146050.97,2,0,0,0
France,Female,33,0.0,2,0,0,0
Germany,Male,41,125561.97,1,0,0,1
Germany,Male,42,98495.72,1,1,0,1
France,Male,43,125211.92,1,1,1,0
France,Male,45,127864.4,1,1,0,0
Germany,Male,19,75888.2,1,0,0,0
